Nomor,Pernyataan,Kunci_Jawaban
295,"Aku suka dongeng yang aneh dan bermanfaat.",YA
296,"Pada waktu-waktu tertentu aku merasa gembira sekali tanpa alasan khusus.",TIDAK
297,"Aku ingin tidak terganggu pikiran tentang seks.",YA
298,"Bila beberapa orang bersama-sama dalam keadaan terjepit, sikap yang baik bagi mereka adalah bersepakat dan bertahan pada suatu alasan tertentu.",YA
299,"Kukira perasaanku lebih mendalam daripada orang lain.",YA
300,"Selama hidupku ini aku tidak pernah senang bermain-main dengan boneka.",YA
301,"Pada umumnya hidupku ini kurasakan berat.",TIDAK
302,"Aku belum pernah mengalami kesulitan karena kelakuan seks ku.",YA
303,"Aku sangat peka terhadap beberapa persoalan, sehingga aku tidak membicarakannya.",TIDAK
304,"Aku merasa sukar untuk bicara didepan kelas waktu sekolah.",TIDAK
305,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK
306,"Aku mendapat pengertian (simpati) yang semestinya.",YA
307,"Aku menolak ikut serta dalam beberapa permainan karena aku kurang pandai.",TIDAK
308,"Aku pernah ingin sekali lari dari rumah.",TIDAK
309,"Aku merasa dapat berkawan semudah orang lain.",YA
310,"Kehidupan seksku cukup memuaskan.",YA
311,"Dalam suatu masa tertentu waktu masih muda aku pernah melakukan pencurian kecil-kecilan.",YA
312,"Aku tidak suka ada orang disekitarku.",TIDAK
313,"Orang yang memberikan peluang mencuri dengan meninggalkan barang begitu saja, sama salahnya dengan orang yang mencurinya.",YA
314,"Sekali-kali aku berpikir tentang hal yang buruk untuk diutarakan.",TIDAK
315,"Aku merasa bahwa hidup ini tidak adil.",TIDAK
316,"Hampir setiap orang akan berbohong untuk menghindarkan kesulitan.",TIDAK
317,"Aku lebih perasa daripada kebanyakan orang.",TIDAK
318,"Kehidupanku sehari-hari selalu terisi dengan hal-hal yang menyenangkan dan menarik.",YA
319,"Kebanyakan orang dalam hati kecilnya tidak begitu suka mengulurkan tangan untuk menolong orang lain.",TIDAK
320,"Kebanyakan mimpiku adalah tentang seks.",TIDAK
321,"Aku mudah sekali menjadi canggung (kikuk).",TIDAK
322,"Aku merisaukan soal uang dan pekerjaan.",TIDAK
323,"Aku pernah mengalami hal yang aneh dan tidak masuk akal.",TIDAK
324,"Aku belum pernah jatuh cinta pada siapapun juga.",TIDAK
325,"Beberapa hal yang pernah dilakukan oleh anggota keluargaku menakutkan aku.",TIDAK
326,"Pada waktu-waktu tertentu aku tertawa dan menangis tanpa dapat kukuasai.",TIDAK
327,"Orang tuaku sering membuat aku menuruti kehendaknya, walaupun pada hematnya hal itu tidak masuk akal.",TIDAK
328,"Aku merasa sukar memusatkan perhatian pada suatu pekerjaan.",TIDAK
329,"Aku hampir tidak pernah bermimpi.",TIDAK
330,"Aku tidak pernah lumpuh atau mengalami kelemahan otot yang berat.",YA
331,"Seandainya orang-orang tidak menghalangi, aku dapat lebih berhasil.",TIDAK
332,"Kadang-kadang suaraku menghilang atau berubah, walapun aku tidak sakit leher (flu).",TIDAK
333,"Aku merasa tak seorangpun yang mengerti akan diriku.",TIDAK
334,"Adakalanya tercium olehku bau yang aneh.",TIDAK
335,"Aku tidak bisa memusatkan perhatian pada satu hal saja.",TIDAK
336,"Aku mudah menjadi kurang sabar terhadap orang-orang.",TIDAK
337,"Aku hampir selalu merasa cemas tentang sesuatu hal atau seseorang.",TIDAK
338,"Sesungguhnya lebih banyak persoalan yang kurisaukan dari pada yang sesungguhnya.",TIDAK
339,"Sering aku ingin mengalami mati.",TIDAK
340,"Kadang-kadang aku begitu tegang sehingga sukar tidur.",TIDAK
341,"Kadang-kadang pendengaranku sedemikian tajamnya, sehingga aku merasa terganggu.",TIDAK
342,"Aku cepat lupa tentang apa saja yang dikatakan orang padaku.",TIDAK
343,"Biasanya aku harus berpikir-pikir dulu sebelum melakukan sesuatu, walaupun mengenai hal yang sepele (kecil dan tidak berarti).",YA
344,"Sering aku menghindar bertemu seseorang dengan mengubah arah langkahku.",YA
345,"Aku sering merasa seakan-akan semuanya semu (tidak sesungguhnya seperti impian belaka).",TIDAK
346,"Aku mempunyai kebiasaan menghitung benda-benda yang tidak perlu seperti tiang listrik dan lain-lain.",TIDAK
347,"Aku tidak mempunyai musuh yang benar-benar bermaksud mencelakakan aku.",YA
348,"Aku cenderung untuk waspada terhadap orang yang berlebihan ramahnya.",YA
349,"Aku merasa pikiranku aneh dan asing.",TIDAK
350,"Bila aku seorang diri, aku mendengar suara yang aneh.",TIDAK
351,"Aku menjadi cemas dan gelisah bila aku harus berpergian.",TIDAK
352,"Aku takut akan benda dan orang yang kuketahui tak akan dapat membahayakan diriku.",TIDAK
353,"Aku tidak takut masuk sendirian kedalam suatu ruangan yang didalamnya berkumpul orang-orang yang sedang berbicara.",YA
354,"Aku takut menggunakan pisau benda tajam atau runcing.",TIDAK
355,"Kadang-kadang aku senang menyakiti orang yang kusayangi.",TIDAK
356,"Aku merasa lebih sukar memusatkan perhatian daripada orang lain.",TIDAK
357,"Aku telah beberapa kali meninggalkan suatu pekerjaan karena merasa kurang mampu.",TIDAK
358,"Kata-kata busuk dan sering-sering mengerikan timbul dalam pikiranku dan aku tidak dapat menghilangkannya.",TIDAK
359,"Kadang-kadang pikiran-pikiran yang tidak penting memenuhi benak dan mengganggu selama beberapa hari.",TIDAK
360,"Hampir setiap hari ada saja kejadian yang menakutkan aku.",TIDAK
361,"Aku cenderung menganggap segala sesuatu secara sungguh-sungguh (serius).",TIDAK
362,"Aku lebih perasa daripada kebanyakan orang lain.",TIDAK
363,"Adakalanya senang disakiti orang yang kucintai.",TIDAK
364,"Orang-orang mengatakan hal-hal yang menghina dan kasar tentang diriku.",TIDAK
365,"Aku merasa gelisah dalam rumah.",TIDAK
366,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK
367,"Aku tidak takut api.",YA
368,"Aku kadang-kadang menjahui orang lain, karena aku takut melakukan atau mengucapkan sesuatu yang mungkin kemudian kusesalkan.",TIDAK
369,"Aku bagiku tidak jadi soal.",TIDAK
370,"Aku tak suka bekerja terburu-buru.",YA
371,"Aku menghargai diriku secara wajar (tidak berlebihan).",YA
372,"Aku lebih suka mempunyai bermacam-macam hobby daripada yang itu-itu saja.",YA
373,"Aku merasa yakin bahwa hanya ada satu agama yang benar.",TIDAK
374,"Pada waktu-waktu tertentu pikiranku bekerja lebih lamban daripada biasanya.",TIDAK
375,"Bila aku merasa gembira dan segar, seorang yang murung atau sedih akan merusak seluruh suasana perasaanku.",TIDAK
376,"Polisi biasanya jujur.",YA
377,"Dalam pesta aku suka duduk sendirian atau hanya dengan seorang lain, daripada menggabungkan diri bersama-sama dengan kelompok.",TIDAK
378,"Aku tidak suka melihat wanita merokok.",YA
379,"Aku jarang sekali murung.",YA
380,"Bila seseorang mengatakan hal-hal yang bodoh dan ngawur tentang sesuatu yang kuketahui benar, maka aku mencoba membetulkannya.",YA
381,"Orang-orang sering mengatakan bahwa aku pemarah.",TIDAK
382,"Semoga aku dapat menghilangkan kerisauan akan ucapan-ucapanku yang mungkin telah menyakiti perasaan orang lain.",YA
383,"Orang-orang sering mengecewakan aku.",TIDAK
384,"Aku merasa tidak sanggup menceritakan seluruhnya tentang diriku kepada orang lain.",YA
385,"Aku tidak takut pada kilat.",TIDAK
386,"Aku suka membuat orang bertanya-tanya tentang apa yang akan kukerjakan selanjutnya.",TIDAK
387,"Satu-satunya keajaiban yang aku ketahui, hanya tipu muslihat yang memperdayakan orang.",TIDAK
388,"Aku takut sendirian dalam gelap.",TIDAK
389,"Acapkali rencana-rencanaku seakan-akan penuh dengan kesukaran, sehingga aku harus membatalkannya.",TIDAK
390,"Aku sering merasa sedih bila disalah artikan, walaupun aku ingin mencegah seseorang membuat kesalahan.",TIDAK
391,"Aku senang pergi ke pesta.",YA
392,"Aku takut angin ribut (angin ribut menakutkan aku).",TIDAK
393,"Kuda yang tidak mau menarik beban harus dicambuk dan ditendang.",YA
394,"Aku sering meminta nasehat pada orang-orang lain.",YA
395,"Masa depanku berlalu tidak menentu bagi seseorang untuk membuat rencana sungguh-sungguh.",TIDAK
396,"Walaupun semuanya berjalan dengan baik aku sering merasa masa bodoh.",TIDAK
397,"Kadang-kadang aku merasa bahwa kesulitan-kesulitan begitu bertumpuk, sehingga aku tidak mampu mengatasinya.",TIDAK
398,"Aku sering berangan-angan menjadi anak-anak kembali.",TIDAK
399,"Aku tidak mudah dibuat marah.",YA
400,"Bila aku diberi kesempatan, aku dapat berbuat sesuatu yang bermanfaat sekali bagi masyarakat.",YA
401,"Aku tidak takut air.",YA
402,"Aku sering berpikir harus berhari-hari untuk memutuskan sesuatu.",TIDAK
403,"Bukan main senangnya untuk hidup dijaman ini dengan begitu banyak kejadian-kejadian.",TIDAK
404,"Orang-orang sering menyalaartikan tentang itikad baikku, apabila aku berusaha menolong dan membetulkan mereka.",TIDAK
405,"Aku tidak ada gangguan menelan.",YA
406,"Aku sering menjumpai orang-orang yang dianggap ahli, yang ternyata tidak lebih unggul daripada aku.",TIDAK
407,"Biasanya aku tenang dan tidak mudah gelisah.",YA
408,"Biasanya aku dapat menyembunyikan perasaanku sedemikian rupa, sehingga orang-orang dapat menyakiti hatiku tanpa mereka sadari.",TIDAK
409,"Adakalanya aku melelahkan diri sendiri karena bekerja melampaui batas.",TIDAK
410,"Aku akan merasa gembira sekali bila dapat mengalahkan seseorang penipu dengan cara-cara sendiri.",YA
411,"Aku merasa seperti orang-orang yang gagal, bila mendengar keberhasilan seseorang yang kukenal.",TIDAK
412,"Aku tidak takut berobat ke dokter untuk suatu penyakit atau luka.",YA
413,"Aku patut dihukum berat untuk dosa-dosaku.",TIDAK
414,"Aku biasanya menganggap kekecewaan begitu serius, sehingga aku tidak dapat melupakannya.",TIDAK
415,"Apabila aku diberi kesempatan, aku bisa menjadi pemimpin yang baik.",YA
416,"Walaupun aku tahu, bahwa aku dapat menyelesaikan sesuatu pekerjaan dengan baik, namun demikian aku merasa terganggu bila orang memperhatikan aku sewaktu bekerja.",TIDAK
417,"Bila seorang mencoba mendahului aku sewaktu antri, aku sering merasa jengkel sehingga aku perlu menegurnya.",YA
418,"Adakalanya aku merasa tak berguna sama sekali.",TIDAK
419,"Aku sering membolos sekolah.",TIDAK
420,"Aku sering mengalami mukzizat dalam agama.",TIDAK
421,"Satu atau lebih dari anggota keluargaku sangat gugup.",TIDAK
422,"Aku pernah merasa malu akan pekerjaan yang dilakukan oleh salah satu atau beberapa anggota keluargaku.",TIDAK
423,"Aku suka sekali mengail ikan.",YA
424,"Hampir selalu aku merasa lapar.",TIDAK
425,"Aku sering bermimpi.",TIDAK
426,"Adakalanya aku harus bersikap kasar terhadap orang-orang yang tidak sopan dan menjengkelkan.",YA
427,"Aku merasa malu mendengar cerita jorok.",YA
428,"Aku suka membaca tajuk rencana dalam surat kabar.",YA
429,"Aku suka mengikuti kuliah tentang mata pelajaran yang bermutu.",YA
430,"Aku tertarik orang berjenis kelamin lain daripadaku.",YA
431,"Aku banyak risau tentang kemungkinan kemalangan.",TIDAK
432,"Aku mempunyai pendirian politik yang kokoh.",TIDAK
433,"Aku mempunyai kawan-kawan yang khayal (aku sering didampingi oleh orang-orang dalam khayalan).",TIDAK
434,"Aku ingin menjadi pembalap mobil.",TIDAK
435,"Aku biasanya lebih suka bekerja denga wanita-wanita.",TIDAK
436,"Pada umumnya orang menuntut penghargaan lebih bagi hak-hak mereka daripada mereka mau menghargai hak-hak orang lain.",TIDAK
437,"Seseorang boleh saja mengingkari hukum, asal saja mereka tidak melanggarnya.",TIDAK
438,"Ada beberapa orang yang kubenci sedemikian rupa, sehingga dalam hati aku senang bila tertangkap.",TIDAK
439,"Aku merasa gelisah bila harus menunggu.",YA
440,"Aku berusaha mengingat-ingat cerita yang baik untuk disampaikan kepada orang lain.",YA
441,"Aku menyukai wanita jangkung.",YA
442,"Adakalanya aku tidak bisa tidur karena risau.",TIDAK
443,"Aku mudah melepaskan sesuatu yang akan kukerjakan, karena orang lain menganggap bahwa aku tidak betul melakukannya.",TIDAK
444,"Aku tidak pernah berusaha membetulkan orang-orang yang mengatakan suatu pendapat yang bodoh.",TIDAK
445,"Sewaktu kecilku aku juga suka hal-hal yang mendebarkan.",TIDAK
446,"Aku suka berjudi kecil-kecilan.",TIDAK
447,"Aku sering cenderung berusaha untuk sedapat mungkin mengalihkan pendapat seseorang yang menentangku.",TIDAK
448,"Aku terganggu oleh orang-orang yang memperhatikan aku diluar, di mobil, di toko dan sebagainya.",TIDAK
449,"Aku senang menghadiri pertemuan sosial hanya untuk bersama orang-orang lain.",TIDAK
450,"Aku senang keramaian.",YA
451,"Kerisauanku seakan-akan menghilang jika aku kumpul dengan kawan-kawan yang bergembira.",YA
452,"Aku suka mengolok-olok orang.",TIDAK
453,"Sewaktu masa kanak-kanak aku tidak berusaha menjadi anggota suatu kelompok atau kelompok.",YA
454,"Aku dapat hidup bahagia sendiri dalam suatu pondok atau pegunungan.",TIDAK
455,"Aku jarang diikut sertakan dalam membicarakan orang lain oleh kelompokku.",TIDAK
456,"Seorang seyogyanya jangan dihukum karena melanggar suatu undang-undang yang dianggapnya tidak masuk akal.",TIDAK
457,"Menurut hematku seorang jangan sekali-kali mencoba minum-minuman keras.",YA
458,"Tokoh pria yang mendidiku semasa kecil (seperti ayah atau orang-orang yang lebih tua) bersikap sangat ketat terhadap diriku.",YA
459,"Aku mempunyai satu atau lebih kebiasaan-kebiasaan yang melekat, sehingga tak ada gunanya untuk melawannya.",TIDAK
460,"Aku jarang (sama sekali tidak) menum-minum keras.",YA
461,"Sukar bagiku meninggalkan pekerjaan walaupun hanya sementara waktu saja.",YA
462,"Tak sukar bagiku untuk menahan atau melepaskan air seni.",YA
463,"Dulu aku senang bermain engkel (main petak).",YA
464,"Aku tak pernah mendapat penglihatan gaib.",YA
465,"Beberapa aku mengubah pendapatku tentang karya hidupku.",TIDAK
466,"Aku tak minum obat-obatan atau obat tidur kecuali atas perintah dokter.",YA
467,"Aku sering menghafal-hafal angka yang tak perlu (seperti nomor mobil dan lain-lain).",TIDAK
468,"Aku sering menyesal karena aku pemarah dan bersungut-sungut.",YA
469,"Aku sering melihat bahwa orang iri hati pada ide-ide yang baik, hanya karena mereka tidak menemukan lebih dahulu.",YA
470,"Soal-soal seks memuakan aku.",TIDAK
471,"Di sekolah angka-angkaku mengenai kelakuan biasanya buruk.",TIDAK
472,"Aku terpesona oleh api.",TIDAK
473,"Bila mungkin aku akan selalu menghindar diri dari keramaian.",TIDAK
474,"Aku kencing tidak lebih sering daripada orang lain.",YA
475,"Bila aku disudutkan, aku akan menceritakan bagian-bagian dari kebenaran yang tidak merugikan aku.",YA
476,"Aku adalah utusan khusus dari Tuhan.",TIDAK
477,"Andaikan aku dan beberapa kawan-kawanku mendapat kesulitan karena bersama-sama bersalah, aku akan memikul seluruh tanggung jawab itu sendiri.",YA
478,"Aku tak pernah merasa gelisah karena kesulitan-kesulitan yang dialami oleh setiap anggota keluargaku.",TIDAK
479,"Aku tidak berkeberatan menghadapi orang yang tidak kukenal.",YA
480,"Aku sering takut gelap.",TIDAK
481,"Aku ingat pernah “pura-pura sakit” untuk menghadiri sesuatu.",TIDAK
482,"Dalam kereta api, bus dll, aku sering bercakap-cakap dengan orang yang tak kukenal.",TIDAK
483,"Nabi-Nabi dapat membuat muzizat.",YA
484,"Aku mempunyai satu atau lebih kekurangan-kekurangan yang demikian besarnya, sehingga rasanya lebih baik menerima dan mencoba mengatasinya daripada mencoba menghilangkannya.",YA
485,"Bila seorang laki-laki bersama seorang wanita, biasanya ia akan berpikir tentang hal-hal yang berhubungan seks wanita itu.",TIDAK
486,"Aku pernah kencing darah.",TIDAK
487,"Aku rasa cepat menyerah bila keadaan memburuk.",TIDAK
488,"Aku berdo'a beberapa kali seminggu.",YA
489,"Aku menaruh simpati terhadap orang-orang yang selalu dirundung oleh kesengsaraan dan kemalangan.",YA
490,"Beberapa kali seminggu.",YA
491,"Aku tidak sabar menghadapi orang-orang yang berpendapat bahwa hanya ada satu agama yang benar.",YA
492,"Aku kuatir akan terjadi gempa bumi.",TIDAK
493,"Aku lebih senang suatu pekerjaan yang memerlukan perhatian penuh, daripada suatu pekerjaan yang mengizinkan sesuatu kelengahan.",YA
494,"Aku takut bila berada dikamar kecil atau diruang kecil tertutup.",TIDAK
495,"Aku biasanya “buka kartu” kepada orang-orang yang mencoba untuk membetulkannya.",TIDAK
496,"Aku tak pernah melihat suatu benda menjadi dua.",YA
497,"Aku suka kisah-kisah pertualangan.",YA
498,"Adalah selalu baik untuk berterus terang.",YA
499,"Aku harus mengakui bahwa kadang-kadang aku merisaukan diluar batas sesuatu yang sebenarnya tidak begitu penting.",TIDAK
500,"Aku mudah tertarik dan mendukung 100 persen kepada pendapat-pendapat yang baik.",YA
501,"Aku biasanya mencari jalan keluar sendiri daripada minta tolong orang lain.",YA
502,"Aku suka memberitahu kepada orang-orang tentang pendirianku.",YA
503,"Tidak biasa bagiku untuk menyatakan secara tegas setuju atau tidak setuju perbuatan orang lain.",YA
504,"Aku tidak berusaha untuk menyembunyikan pendapatku yang kurang baik terhadap seseorang meskipun dia akan tersinggung.",TIDAK
505,"Ada kalanya aku begitu bersemangat, sehingga aku tidak perlu tidur berhari-hari.",TIDAK
506,"Aku adalah orang yang selalu tegang.",TIDAK
507,"Aku sering bekerja dibawah orang yang telah mengatur semuanya sedemikian rupa, sehingga mereka mendapat pujian baik, akan tetapi kesalahan menjadi tanggungjawab bawahan.",TIDAK
508,"Indra penciumanku sebaik orang lain.",YA
509,"Kadang-kadang sukar bagiku untuk mempertahankan hakku, karena aku terlalu pendiam.",TIDAK
510,"Sampah menakutkan dan memuakan aku.",YA
511,"Aku mempunyai alam khayalan yang tak kuceritakan kepada siapapun juga.",TIDAK
512,"Aku tidak suka mandi.",TIDAK
513,"Menurut hematku Gajah Mada tidak lebih agung daripada Hayam Wuruk.",TIDAK
514,"Aku lebih suka wanita yang kelaki-lakian.",TIDAK
515,"Di rumahku selalu tersedia kebutuhan sehari-hari (seperti cukup makan, pakaian, dll).",YA
516,"Beberapa anggota keluargaku mudah naik darah.",TIDAK
517,"Tak ada sesuatu apapun yang kulakukan dengan baik.",TIDAK
518,"Aku sering merasa berdosa, karena aku pura-pura sangat menyesal padahal sebenarnya tidak.",TIDAK
519,"Ada sesuatu yang tidak beres dengan alat kelaminku.",TIDAK
520,"Aku selalu mempertahankan pendirianku dengan gigih.",YA
521,"Bila dalam suatu kelompok aku diminta untuk memulai sesuatu, diskusi atau mengemukakan suatu pendapat, tentang apa yang kukuasai benar aku tidak malu-malu.",YA
522,"Aku tidak takut pada laba-laba.",YA
523,"Wajahku tak pernah tersipu-sipu (menjadi merah) karena malu.",YA
524,"Aku takut ketularan penyakit dari pegangan pintu.",YA
525,"Aku dibuat bingung oleh binatang-binatang tertentu.",TIDAK
526,"Masa depanku suram.",TIDAK
527,"Anggota keluargaku dan sanaku mempunyai hubungan baik sekali.",YA
528,"Aku tersipu-sipu (wajahku merah karena malu) tidak lebih dari orang lain.",TIDAK
529,"Aku ingin mengenakan pakaian yang mahal-mahal.",TIDAK
530,"Aku sering takut tersipu-sipu.",YA
531,"Orang-orang mudah sekali merubah pendirianku, walaupun menurut hematku aku sudah mengambil sikap yang pasti.",TIDAK
532,"Aku dapat tahan sakit seperti orang lain.",YA
533,"Aku tak terganggu karena bertahak (mengeluarkan gas dari perut).",YA
534,"Acapkali aku adalah orang yang terakhir menyerah terhadap suatu persoalan.",TIDAK
535,"Hampir selalu mulutku terasa kering.",TIDAK
536,"Aku ingin berburu singa di Afrika.",TIDAK
537,"Aku suka pekerjaan seorang penjahit pakaian wanita atau anak-anak.",TIDAK
538,"Aku tak takut pada tikus.",TIDAK
539,"Mukaku tak pernah lumpuh.",YA
540,"Kulitku agaknya sangat peka terhadap sentuhan.",YA
541,"Buang air besar tak pernah hitam encer (seperti petis).",YA
542,"Beberapa kali seminggu seolah-olah sesuatu yang menakutkan akan terjadi.",YA
543,"Aku sering merasa lelah.",TIDAK
544,"Kadang-kadang aku bermimpi tentang hal sama terus-menerus.",TIDAK
545,"Aku senang membaca tentang sejarah.",YA
546,"Aku senang pesta dan pertemuan sosial.",YA
547,"Bila aku dapat menghindarinya, aku tak menonton pertunjukan seks.",YA
548,"Aku mundur ketakutan menghadapi krisis atau kesulitan.",YA
549,"Aku suka memperbaiki kunci pintu.",TIDAK
550,"Kadang-kadang aku yakin bahwa orang lain mengetahui apa yang sedang kupikirkan.",TIDAK
551,"Aku senang membaca ilmu pengetahuan.",YA
552,"Aku takut sendirian di tempat luas dan terbuka.",TIDAK
553,"Andaikan aku seorang seniman aku senang menggambar kanak-kanak.",TIDAK
554,"Kadang-kadang aku merasa bahwa seolah-olah aku akan menjadi gila.",TIDAK
555,"Aku sangat teliti dalam cara berdandan.",TIDAK
556,"Aku sangat ingin menjadi sekretaris (sekretares) pribadi.",TIDAK
557,"Banyak orang bersalah karena tingkah laku seksnya yang jelek.",YA
558,"Aku sering terbangun ketakutan ditengah malam.",TIDAK
559,"Aku sering terganggu oleh sikap pelupaku meletakkan benda-benda.",TIDAK
560,"Aku senang sekali mengendarai kuda.",YA
561,"Semasa kecilku aku rasa paling terikat atau merasa paling dekat adalah seorang wanita (ibu, kakak perempuan, atau perempuan lain).",TIDAK
562,"Aku lebih suka kisah pertualangan daripada kisah cinta.",YA
563,"Mudah sekali aku meninggalkan sesuatu yang akan kukerjakan apabila orang lain tak ada gunanya.",TIDAK
564,"Aku merasa seolah-olah akan menjatuhkan diri bila berada di tempat yang tinggi.",TIDAK
565,"Aku senang dengan adegan cinta dalam film.",YA